ID,Name,Vertices,Faces,Model
A01,Cuboctahedron,12,14,:model:`_static/cuboctahedron.x3d`
A02,Icosidodecahedron,30,32,:model:`_static/icosidodecahedron.x3d`
A03,Truncated Tetrahedron,12,8,:model:`_static/truncated_tetrahedron.x3d`
A04,Truncated Octahedron,24,14,:model:`_static/truncated_octahedron.x3d`
A05,Truncated Cube,24,14,:model:`_static/truncated_cube.x3d`
A06,Truncated Icosahedron,60,32,:model:`_static/truncated_icosahedron.x3d`
A07,Truncated Dodecahedron,60,32,:model:`_static/truncated_dodecahedron.x3d`
A08,Rhombicuboctahedron,24,26,:model:`_static/rhombicuboctahedron.x3d`
A09,Rhombicosidodecahedron,60,62,:model:`_static/rhombicosidodecahedron.x3d`
A10,Truncated Cuboctahedron,48,26,:model:`_static/truncated_cuboctahedron.x3d`
A11,Truncated Icosidodecahedron,120,62,:model:`_static/truncated_icosidodecahedron.x3d`
A12,Snub Cuboctahedron,24,38,:model:`_static/snub_cuboctahedron.x3d`
A13,Snub Icosidodecahedron,60,92,:model:`_static/snub_icosidodecahedron.x3d`
